BLcode,country,year,sex,agefrom,ageto,lu,lp,lpc,ls,lsc,lh,lhc,yr_sch,yr_sch_pri,yr_sch_sec,yr_sch_ter,pop,WBcode,region_code
97,Pakistan,2010,MF,15,999,45.38,17.25,14.53,31.67,19.13,5.7,4.43,5.02,2.66,2.16,0.2,112500,PAK,South Asia
98,Philippines,2010,MF,15,999,2.72,27.03,17.02,47.04,23.84,23.21,5.48,8.43,5.35,2.5,0.57,60835,PHL,East Asia and the Pacific
99,Saudi Arabia,2010,MF,15,999,12.72,23.05,14.95,52.27,29.11,11.96,6.67,8.53,4.99,3.16,0.37,18076,SAU,Middle East and North Africa
100,Singapore,2010,MF,15,999,15.27,6.95,4.09,40.17,30,37.61,29.71,10.81,5,4.46,1.35,3872,SGP,East Asia and the Pacific
101,Sri Lanka,2010,MF,15,999,4.43,16.78,11.39,64.56,17.89,14.23,8.51,10.06,5.87,3.73,0.45,16720,LKA,South Asia
102,Syrian Arab Republic,2010,MF,15,999,16.19,43.51,32.45,35.67,18.09,4.63,2.55,6.7,4.64,1.92,0.14,13910,SYR,Middle East and North Africa
103,Taiwan,2010,MF,15,999,2.38,13.42,11.71,46.17,32.53,38.03,8.24,11.09,5.52,4.64,0.93,19035,TWN,East Asia and the Pacific
104,Thailand,2010,MF,15,999,3.44,49.44,27.81,34.11,18.99,13,10.47,7.99,5.25,2.26,0.47,51912,THA,East Asia and the Pacific
105,United Arab Emirates,2010,MF,15,999,9.72,22.62,11.27,53.27,35.68,14.39,8.54,9.07,5.08,3.53,0.46,3998,ARE,Middle East and North Africa
106,Yemen,2010,MF,15,999,57.49,15.97,10.56,23.66,10.68,2.88,1.5,3.68,2.39,1.2,0.09,13540,YEM,Middle East and North Africa
107,Austria,2010,MF,15,999,1.29,23.39,18.4,59.96,40.81,15.36,9.37,9.6,3.85,5.26,0.49,7090,AUT,Advanced Economies
108,Belgium,2010,MF,15,999,4.67,14.56,9.5,53.43,33.24,27.34,17.69,10.69,5.57,4.23,0.9,8815,BEL,Advanced Economies
109,Cyprus,2010,MF,15,999,0.74,20.66,15.53,49.78,35.05,28.82,20.75,11.07,5.8,4.27,0.99,725,CYP,Middle East and North Africa
110,Denmark,2010,MF,15,999,2.64,5.88,4.64,66.69,38.88,24.81,14.98,11.3,5.59,4.91,0.8,4515,DNK,Advanced Economies
111,Finland,2010,MF,15,999,0.37,31.86,25.11,40.46,21.65,27.31,11.88,9.84,5.21,3.85,0.78,4451,FIN,Advanced Economies
112,France,2010,MF,15,999,1.48,16.58,15.32,58.99,38.22,22.95,10.6,10.68,4.89,5.11,0.67,50470,FRA,Advanced Economies
114,Greece,2010,MF,15,999,2.51,31.05,27.65,41.68,29.05,24.75,22.5,10.3,5.75,3.61,0.95,9649,GRC,Advanced Economies
115,Hungary,2010,MF,15,999,0.29,1.95,1.75,80.58,52.92,17.18,15.38,11.85,7.69,3.51,0.65,8515,HUN,Europe and Central Asia
116,Iceland,2010,MF,15,999,1.56,30.05,24.05,38.06,25.21,30.33,17.89,11.05,5.82,4.27,0.96,243,ISL,Advanced Economies
117,Ireland,2010,MF,15,999,0.73,17.35,13.86,41.83,24.69,40.09,26.8,12.03,6.65,4.04,1.34,3526,IRL,Advanced Economies
118,Italy,2010,MF,15,999,5.61,17.68,16.38,65.64,34.54,11.06,6.84,9.63,4.69,4.58,0.36,50210,ITA,Advanced Economies
119,Luxembourg,2010,MF,15,999,4.64,20.42,15.71,46.75,27.58,28.19,18.54,10.99,5.58,4.48,0.93,404,LUX,Advanced Economies
120,Malta,2010,MF,15,999,1.64,25.55,22.99,59.95,16.42,12.86,10.52,10.52,5.82,4.23,0.47,343,MLT,Middle East and North Africa
121,Netherlands,2010,MF,15,999,0,10.58,9.07,63.63,38.39,25.79,15.63,11.39,5.95,4.61,0.83,13722,NLD,Advanced Economies
122,Norway,2010,MF,15,999,5.74,0.25,0.24,67.7,40.3,26.31,12.16,11.59,6.22,4.6,0.77,3859,NOR,Advanced Economies
123,Poland,2010,MF,15,999,0.27,17.06,16.09,63.69,58.39,18.98,11.37,11.32,7.39,3.32,0.61,32711,POL,Europe and Central Asia
124,Portugal,2010,MF,15,999,10.33,42.59,37.95,35.27,15.46,11.81,3.26,7.52,4.88,2.35,0.3,9043,PRT,Advanced Economies
125,Spain,2010,MF,15,999,2.25,28.35,20,45.21,20.27,24.19,14.96,10.27,5.52,3.97,0.78,37418,ESP,Advanced Economies
126,Sweden,2010,MF,15,999,2.15,10.94,8.63,62.02,48.29,24.89,14.93,11.64,5.8,5.04,0.8,7685,SWE,Advanced Economies
127,Switzerland,2010,MF,15,999,1.61,3.16,2.49,65.75,48.33,29.47,17.88,13.02,6.29,5.78,0.95,6204,CHE,Advanced Economies
128,Turkey,2010,MF,15,999,9.18,42.99,36.62,38.55,20.52,9.28,5.28,7.05,4.49,2.27,0.29,56541,TUR,Advanced Economies
129,United Kingdom,2010,MF,15,999,0.15,14.9,11.79,59.45,47.31,25.5,15.31,12.24,5.9,5.53,0.82,50276,GBR,Advanced Economies
131,Australia,2010,MF,15,999,0.72,7.59,5.21,60.71,38.49,30.98,18.52,11.54,5.97,4.59,0.99,17323,AUS,Advanced Economies
132,Fiji,2010,MF,15,999,2.44,26.45,16.61,58.87,36.33,12.23,7.03,9.96,6.48,3.09,0.39,617,FJI,East Asia and the Pacific
133,New Zealand,2010,MF,15,999,0.9,35.19,28.05,31.09,15.53,32.82,15.5,10.98,6.41,3.6,0.97,3337,NZL,Advanced Economies
134,Papua New Guinea,2010,MF,15,999,37.93,49.28,43.99,11.61,6.28,1.17,0.54,4.26,3.57,0.66,0.03,4054,PNG,East Asia and the Pacific
136,Tonga,2010,MF,15,999,0.73,9.31,6.7,84.75,49.88,5.22,2.91,10.82,5.88,4.78,0.16,67,TON,East Asia and the Pacific
140,Libyan Arab Jamahiriya,2010,MF,15,999,22.1,25.2,20.43,29.32,15.99,23.38,11.89,8,4.53,2.76,0.71,4539,LBY,Middle East and North Africa
141,Namibia,2010,MF,15,999,20.81,46.36,24.75,31.37,16.15,1.46,0.76,6.17,4.79,1.34,0.04,1334,NAM,Sub-Saharan Africa
142,Reunion,2010,MF,15,999,8.41,25.97,23.56,63.13,19.88,2.5,1.48,7.9,4.52,3.3,0.08,618,REU,Sub-Saharan Africa
143,Belize,2010,MF,15,999,0.09,14.38,14.29,80.26,30.33,5.76,3.18,11.29,7.7,3.41,0.18,196,BLZ,Latin America and the Caribbean
144,Brunei Darussalam,2010,MF,15,999,21.11,12.36,11.6,55.28,30.69,11.24,6.51,8.74,4.71,3.67,0.36,301,BRN,East Asia and the Pacific
150,Bulgaria,2010,MF,15,999,2.37,5.42,4.68,71.1,46.8,21.11,13.07,11.24,6.13,4.43,0.68,6478,BGR,Europe and Central Asia
151,Czech Republic,2010,MF,15,999,0.15,0.68,0.68,84.34,68.77,14.83,7.59,12.8,8.56,3.79,0.45,8797,CZE,Europe and Central Asia
153,Romania,2010,MF,15,999,1.7,10.11,1.29,77.56,51.31,10.63,6.61,10.67,6.56,3.76,0.34,18140,ROU,Europe and Central Asia
154,Russian Federation,2010,MF,15,999,0.89,5.38,3.17,34.8,23.8,59.22,24.74,11.53,5.14,4.71,1.68,118489,RUS,Europe and Central Asia
155,Cuba,2010,MF,15,999,7.67,12.43,8.16,60.6,29.48,19.3,13.32,10.16,5.41,4.1,0.65,9379,CUB,Latin America and the Caribbean
156,Albania,2010,MF,15,999,3.28,9.36,9.03,85.78,42.9,1.59,0.93,9.93,6.48,3.4,0.05,2431,ALB,Europe and Central Asia
170,Slovakia,2010,MF,15,999,0.3,1.26,1,80.13,61.79,18.32,8.76,12.82,8.04,4.24,0.54,4602,SVK,Europe and Central Asia
190,Germany,2010,MF,15,999,1.8,3.73,2.92,73,54.75,21.48,13.14,12.37,4.83,6.84,0.69,71607,DEU,Advanced Economies
308,Armenia,2010,MF,15,999,0.6,5.07,4.67,68.89,57.12,25.44,15.03,10.73,4.62,5.29,0.81,2452,ARM,Europe and Central Asia
310,Cambodia,2010,MF,15,999,22.22,57.88,24.85,17.48,4.51,2.42,1.32,4.72,3.68,0.97,0.07,10114,KHM,East Asia and the Pacific
312,Kazakhstan,2010,MF,15,999,0.05,3.62,2.09,72.91,66.25,23.43,14.03,11.33,3.97,6.61,0.75,11633,KAZ,Europe and Central Asia
313,Kyrgyzstan,2010,MF,15,999,0.76,6.4,5.45,76.88,65.02,15.96,9,10.71,3.95,6.26,0.5,3961,KGZ,Europe and Central Asia
314,Lao People's Democratic Republic,2010,MF,15,999,31.19,32.09,20.78,30.62,6.04,6.09,3.3,5.02,3.36,1.47,0.19,4028,LAO,East Asia and the Pacific
315,Maldives,2010,MF,15,999,19.52,33.81,17.91,45.31,11.38,1.36,0.25,6.02,3.89,2.1,0.03,230,MDV,South Asia
316,Mongolia,2010,MF,15,999,4.29,10.28,6.56,64.84,45.61,20.6,19.66,9.2,3.19,5.21,0.81,2029,MNG,East Asia and the Pacific
318,Qatar,2010,MF,15,999,3.59,42.14,18.48,37.82,23.57,16.44,10.05,8.43,5.07,2.83,0.53,694,QAT,Middle East and North Africa
319,Tajikistan,2010,MF,15,999,0.27,9.47,8.26,83.24,62.27,7.02,3.74,10.3,3.97,6.12,0.22,4507,TJK,Europe and Central Asia
320,Viet Nam,2010,MF,15,999,15.2,22.65,14.29,56.41,19.43,5.74,3.27,7.15,4.03,2.94,0.18,66119,VNM,East Asia and the Pacific
322,Croatia,2010,MF,15,999,1.8,8.33,7.31,72.29,49.85,17.58,11.04,11.3,6.6,4.13,0.57,3876,HRV,Europe and Central Asia
323,Estonia,2010,MF,15,999,0.2,5.32,5.03,64.08,46.53,30.4,18.87,12.11,5.98,5.14,0.99,1116,EST,Europe and Central Asia
324,Latvia,2010,MF,15,999,0.3,4.12,3.35,75.55,41.6,20.03,12.42,10.65,5.02,4.98,0.65,1946,LVA,Europe and Central Asia
325,Lithuania,2010,MF,15,999,0,10.11,8.85,64.44,51.25,25.44,15.6,10.89,5.17,4.9,0.82,2882,LTU,Europe and Central Asia
326,Republic of Moldova,2010,MF,15,999,0.98,6.09,3.65,78.33,54.27,14.61,8.76,10.4,3.91,6.02,0.47,2982,ROM,Europe and Central Asia
329,Serbia,2010,MF,15,999,2.96,8.99,7.69,73.51,48.71,14.54,8.97,10.85,6.03,4.35,0.47,8667,SER,Europe and Central Asia
331,Slovenia,2010,MF,15,999,0.66,3.08,2.66,76.41,56.12,19.86,13.25,11.89,6.39,4.84,0.66,1700,SVN,Europe and Central Asia
342,"China, Macao Special Administrative Region",2010,MF,15,999,3.46,21.36,16.16,58.11,32.11,17.07,10.43,8.54,4.87,3.12,0.55,416,MAC,East Asia and the Pacific
358,Ukraine,2010,MF,15,999,1.25,6.96,6.09,52.05,38.63,39.73,24.55,11.15,4.99,4.87,1.29,38220,UKR,Europe and Central Asia
